"Input1" "Input2" "Input3" "Input4" "Input5" "Input6"
"Xkr4" -0.113476361404639 0.542987881559451 0.1169997488301 -2.21199259061878 -1.61858286236875 -2.76954750346782
"Mrpl15" 6.46428083696162 5.39212570951897 4.8644982717642 4.43374414911705 3.93239021037138 3.77648948534502
"Lypla1" 6.5754580677323 5.98865759895226 5.87096569552251 4.82143041091867 4.33150125034309 4.21913718330435
"Tcea1" 7.54318166470854 6.67929765833284 6.35639252269275 5.61566077517982 5.15891421152351 4.91149564607231
"Rgs20" 2.28182491981294 2.54754616352176 2.85147579097061 1.88283095558281 1.80965413466495 1.97341683131983
"Atp6v1h" 5.01938654581613 4.23214546954816 3.96292232714719 4.21354260905342 3.87703706388384 3.76615988245129
"Rb1cc1" 5.93755520987596 5.55831470920733 5.60442400042032 5.2021870734013 4.97957913610726 4.92548741023247
"Pcmtd1" 6.71334842485119 6.51154531754097 6.63785546691314 6.00990970160105 5.82777068581427 5.92277739594138
"Rrs1" 6.34951483229501 5.55492279140455 4.90467718611124 4.8338264128465 4.05716666319531 3.90758484118121
"Adhfe1" -0.389110804018066 -0.716398747259198 -1.57105624485516 0.230229737986295 0.0218747509441081 -0.384883653232491
"2610203C22Rik" -3.0520758167405 -3.43886477173029 -3.15601874557632 -2.21199259061878 -0.420643484756843 -2.23903278676904
"Mybl1" 4.53538919118383 4.27675408734453 4.26183376930958 3.79680137861306 3.79579148128321 3.46353951866487
"Vcpip1" 5.40050863650053 4.61315978875254 4.76879375802946 4.38662635458396 3.7139144742288 3.81374424426883
"Sgk3" 2.98501350199472 2.82792176896461 2.67687126858843 2.61979654974902 2.4180756082101 2.37794010885474
"Mcmdc2" 5.08576921370789 5.19413042541267 5.17041074154599 4.30130589999725 4.16277685115591 4.03637546309666
"Snhg6" 1.80590517838708 1.73905302046555 1.63405818504945 0.856902490592289 0.316322109409363 0.082895308118326
"Snord87" 5.03007322461338 5.06654983761646 5.52228795407519 4.49266289561764 3.76766004600032 4.16512624865424
"Tcf24" -0.113476361404639 0.0205668469070078 0.213215064089403 -1.18096569499815 -1.61858286236875 -1.69154499146654
"Cops5" 5.13610088925804 4.16550312816346 3.83266594119585 3.60763116877209 2.68197158172604 2.87751111834525
"Cspp1" 6.15818964856703 6.15471309561428 6.26394143227157 5.54782324260977 5.40182521066052 5.25466873395301
