"Input1" "Input2" "Input3" "Input4" "Input5" "Input6"
"Xkr4" 11 39 14 11 8 4
"Rp1" 2 9 1 0 0 1
"Sox17" 2 7 0 9 2 5
"Mrpl15" 1098 1138 389 1151 398 420
"Lypla1" 1186 1721 782 1506 525 571
"Tcea1" 2320 2778 1095 2612 932 923
"Rgs20" 60 158 96 196 91 120
"Atp6v1h" 403 509 208 988 383 417
"Oprk1" 1 3 3 7 1 2
"Npbwr1" 1 2 0 2 3 1
"Rb1cc1" 762 1277 650 1961 823 932
"Fam150a" 0 0 0 0 1 0
"St18" 2 6 1 3 0 1
"Pcmtd1" 1305 2473 1331 3433 1482 1861
"Sntg1" 2 15 3 15 5 4
"Rrs1" 1014 1274 400 1519 434 460
"Adhfe1" 9 16 4 62 26 23
"2610203C22Rik" 1 2 1 11 19 6
"3110035E14Rik" 1 5 0 4 4 3
"Mybl1" 288 525 256 740 362 338
"Vcpip1" 525 663 364 1114 342 431
"1700034P13Rik" 2 3 2 7 0 1
"Sgk3" 98 192 85 327 139 159
"Mcmdc2" 422 992 481 1050 467 503
"Snhg6" 43 90 41 96 32 32
"Snord87" 406 908 614 1199 355 550
"Tcf24" 11 27 15 23 8 9
"Ppp1r42" 3 7 0 1 1 0
"Cops5" 437 486 190 649 167 225
"Cspp1" 888 1931 1027 2492 1103 1171
"Arfgef1" 617 966 429 2189 982 1095
"Cpa6" 0 2 0 2 0 1
"Mir467e" 0 0 0 0 3 0
"Prex2" 758 1362 747 1560 699 774
"A830018L16Rik" 50 165 67 194 91 135
"Mir6341" 0 0 0 0 0 0
"Gm17644" 15973 27146 12204 44769 17350 20069
"Sulf1" 1066 2218 1224 1980 767 767
"Slco5a1" 53 123 83 60 35 39
"Prdm14" 88 121 49 288 121 124
"Ncoa2" 593 856 454 1575 621 683
"Tram1" 572 1105 612 1192 443 457
"Lactb2" 502 755 309 930 363 357
"Xkr9" 3 1 2 0 0 1
"Gm5523" 35 30 16 43 6 10
"Eya1" 70 96 57 132 50 48
"Msc" 22 27 12 69 19 24
"Trpa1" 13 50 25 18 18 12
"Kcnb2" 3 3 2 0 1 0
"Terf1" 1325 1964 950 3012 1169 1218
"Sbspon" 48 115 85 278 97 124
"4930444P10Rik" 276 566 323 510 253 306
"Rpl7" 7597 7560 2532 8812 2244 2587
"Rdh10" 45 110 56 72 34 36
"Stau2" 50 76 23 123 38 50
"Ube2w" 102 153 69 242 120 109
"Tceb1" 261 307 101 276 78 82
"D030040B21Rik" 29 87 50 75 47 46
"Tmem70" 104 130 70 148 43 60
"Ly96" 0 6 1 3 2 1
"Jph1" 85 136 64 266 98 92
"Gdap1" 1 4 2 3 4 3
"Pi15" 191 470 239 618 279 345
"Gm16070" 1243 2533 960 2499 1054 1235
"Crispld1" 30 59 28 106 42 66
"Crisp4" 0 1 0 0 0 0
"Defb44-ps" 0 0 0 0 0 0
"Defb18" 0 0 0 0 0 0
"Defb41" 0 0 0 0 0 0
"Gm15386" 0 0 0 0 0 0
"Tfap2d" 2 3 2 2 0 3
"Tfap2b" 29 54 36 59 34 20
"Pkhd1" 108 187 79 554 232 263
"4930486I03Rik" 4 5 1 19 5 7
"Linc-md1" 0 0 0 1 0 0
"Mir206" 0 0 0 0 0 0
"Mir133b" 0 0 0 0 0 0
"Il17a" 1 0 0 1 0 0
"Il17f" 3 11 4 8 3 6
"Mcm3" 4300 4800 1843 6169 2067 2468
"6720483E21Rik" 1 1 0 2 0 0
"Paqr8" 21 90 53 120 67 93
"Efhc1" 8 17 2 22 8 7
"Tram2" 34 82 48 175 72 108
"Tmem14a" 4 23 7 11 6 9
"Gsta3" 35 34 19 34 9 13
"Gm4956" 1 5 1 1 0 0
"Khdc1a" 0 8 1 0 0 0
"Khdc1c" 0 0 0 0 0 0
"Khdc1b" 2 8 1 1 1 1
"Kcnq5" 7 19 10 6 4 1
"Rims1" 79 138 71 66 23 48
"4933415F23Rik" 1 2 0 2 0 0
"Mir30a" 0 0 1 1 0 0
"Mir30c-2" 0 6 2 5 1 2
"Ogfrl1" 162 254 108 276 114 157
"B3gat2" 19 42 14 43 22 33
"Smap1" 388 467 241 615 225 243
"Sdhaf4" 37 28 25 25 10 14
"Fam135a" 291 567 336 972 450 491
"Col9a1" 5 3 6 1 0 0
"Col19a1" 4 17 3 10 6 6
"Lmbrd1" 122 297 181 608 295 355
"Adgrb3" 3 23 12 20 8 8
"Gm20172" 61 139 86 208 99 78
"4931408C20Rik" 3 1 0 0 1 2
"Gm597" 1 1 2 0 0 0
"Mir6342" 0 0 0 0 0 0
"Phf3" 4157 5913 2830 6645 2640 2898
"Ptp4a1" 26 49 36 33 11 19
"Gm13363" 0 0 0 0 0 0
"4931428L18Rik" 35 77 20 88 38 64
"Lgsn" 0 2 1 0 0 0
"Pih1d3" 0 0 0 0 0 0
"Gm4850" 0 0 0 1 0 0
"Khdrbs2" 4 2 0 0 0 3
"Gm9839" 0 1 0 0 0 0
"Gm5415" 5 17 6 9 14 9
"Prim2" 301 395 200 589 208 215
"1700001G17Rik" 0 3 1 7 1 1
"Rab23" 550 755 334 581 211 263
"Bag2" 30 46 15 30 10 11
"Zfp451" 963 1353 646 2019 792 904
"Gm15455" 30 54 17 66 25 8
"Bend6" 13 8 8 11 4 6
"Dst" 15179 31034 17556 47055 20112 23504
"Mir6896" 1 0 1 0 2 0
"Mir5103" 0 1 0 0 0 0
"Ccdc115" 198 192 104 266 83 74
"Imp4" 389 461 235 545 164 201
"Ptpn18" 20 24 7 14 3 13
"Prss39" 3 2 0 1 0 2
"Cfc1" 1 5 1 3 1 3
"Prss40" 0 2 1 0 1 1
"Amer3" 1 2 1 2 0 0
"AA619741" 4 6 2 0 0 0
"Arhgef4" 96 138 62 131 62 73
"Fam168b" 604 916 406 1442 534 598
