	1wt_fbs1	2ko_fbs1	3wt_ink1	4ko_ink1	5wt_fbs2	6ko_fbs2	7wt_ink2	8ko_ink2	9wt_fbs3	10ko_fbs3	11wt_ink3	12ko_ink3
ERCC-00002	34661	101772	80300	111030	107811	57774	57266	99664	84523	91200	139583	150195
ERCC-00003	2629	9124	6085	8321	8700	4170	3789	6657	6188	7037	9777	11756
ERCC-00004	5411	20092	13859	19483	19803	9642	8922	15132	14138	15431	21914	27051
ERCC-00009	1012	3068	2467	3310	3372	1817	1827	3195	2476	2926	4445	4798
ERCC-00012	0	0	2	0	1	0	0	1	2	0	0	0
ERCC-00013	1	4	3	6	8	1	4	5	6	3	5	3
ERCC-00014	20	40	44	43	57	25	27	39	39	39	83	77
ERCC-00016	0	4	1	3	1	1	1	1	0	0	0	1
ERCC-00017	0	0	1	1	1	0	0	1	0	0	0	2
ERCC-00019	26	69	70	66	68	42	38	63	62	46	107	106
ERCC-00022	226	740	578	796	774	420	429	663	606	562	1047	1115
ERCC-00024	0	2	1	0	1	0	0	0	1	0	1	1
ERCC-00025	199	574	489	651	634	315	336	577	463	544	802	879
ERCC-00028	8	13	15	20	11	11	9	11	11	9	30	31
ERCC-00031	1	7	13	18	8	7	5	4	3	16	12	21
ERCC-00033	5	18	9	10	15	13	6	10	14	18	27	30
ERCC-00034	38	86	61	103	88	48	44	100	57	72	149	129
ERCC-00035	157	547	367	522	493	298	271	449	392	469	692	837
ERCC-00039	8	18	7	16	19	8	5	9	13	8	20	24
ERCC-00040	1	1	2	3	1	2	2	1	1	3	4	5
ERCC-00041	1	3	1	3	3	2	4	1	1	1	3	7
ERCC-00042	909	3166	2185	3212	2997	1583	1471	2482	2291	2358	3569	4125
ERCC-00043	943	3570	2482	3457	3601	1784	1554	2830	2447	2755	4140	4904
ERCC-00044	173	568	461	601	553	294	317	537	470	569	743	850
ERCC-00046	4003	14615	10215	13653	14072	7076	6237	11331	10222	11213	16340	19395
ERCC-00048	0	0	0	0	1	0	0	1	0	0	0	0
ERCC-00051	14	22	24	38	34	17	22	36	26	20	49	50
ERCC-00053	53	175	126	194	204	83	75	156	141	131	224	262
ERCC-00054	4	4	12	10	13	5	7	9	12	8	14	15
ERCC-00057	0	0	0	0	0	0	0	0	0	1	1	1
ERCC-00058	2	16	7	13	19	10	12	8	13	17	18	17
ERCC-00059	14	39	26	49	36	25	13	36	34	30	56	52
ERCC-00060	335	1305	865	1192	1360	595	550	970	901	995	1349	1830
ERCC-00061	0	0	2	0	0	0	1	0	0	2	0	1
ERCC-00062	87	331	234	310	372	172	131	247	240	273	414	529
ERCC-00067	2	6	8	5	5	5	4	14	2	9	12	9
ERCC-00069	4	17	16	15	16	11	7	14	8	11	25	28
ERCC-00071	43	147	86	138	136	75	67	118	84	123	191	194
ERCC-00073	1	6	2	5	3	4	1	3	0	2	3	5
ERCC-00074	16945	62619	43940	60780	60845	29982	27155	47934	42733	47358	68446	81932
ERCC-00075	0	1	0	1	0	1	0	1	1	1	0	0
ERCC-00076	90	303	205	289	288	169	202	285	226	275	410	438
ERCC-00077	0	6	7	7	8	7	4	4	12	5	6	13
ERCC-00078	64	190	157	216	199	120	111	189	148	176	249	283
ERCC-00079	46	169	146	202	203	115	89	181	123	179	251	261
ERCC-00081	0	0	0	0	1	0	0	1	1	0	0	0
ERCC-00083	1	0	0	0	0	1	1	1	1	1	1	0
ERCC-00084	39	114	105	131	139	63	60	134	98	108	183	199
ERCC-00085	3	28	15	26	22	12	16	27	20	16	32	25
ERCC-00086	0	1	2	1	2	0	0	0	1	0	0	1
ERCC-00092	460	1468	1132	1533	1423	830	806	1328	1156	1214	2003	2090
ERCC-00095	117	399	292	421	388	204	188	324	285	350	523	531
ERCC-00096	38714	114227	91583	127791	118795	66097	65094	109230	91418	97583	154938	171112
ERCC-00097	0	3	2	2	1	1	1	1	0	0	6	3
ERCC-00098	0	1	1	1	3	0	0	1	3	1	0	0
ERCC-00099	26	119	90	104	101	71	44	65	69	83	119	155
ERCC-00104	0	3	1	1	2	0	0	2	1	2	3	3
ERCC-00108	1097	3364	2623	3684	3421	1896	1824	3315	2635	3020	4565	4827
ERCC-00109	0	2	4	3	2	3	0	3	3	1	3	2
ERCC-00111	719	2193	1619	2235	2126	1124	1084	2027	1635	1743	2679	2911
ERCC-00112	273	796	680	906	912	488	514	813	689	760	1137	1200
ERCC-00113	6530	18964	15356	21197	19528	11007	11079	18227	15378	16519	25800	28166
ERCC-00116	1379	3937	3214	4320	4289	2377	2377	3973	3438	3702	5863	6121
ERCC-00117	0	1	0	2	0	0	0	0	0	0	0	0
ERCC-00120	1	4	2	2	0	1	2	2	3	1	1	5
ERCC-00123	1	5	1	1	5	0	3	2	4	2	1	3
ERCC-00126	12	39	33	46	43	26	19	43	21	38	43	60
ERCC-00130	40209	127620	101665	139601	134476	71244	71373	120510	103586	110831	177771	200085
ERCC-00131	140	456	364	480	431	255	233	410	338	372	596	656
ERCC-00134	0	2	1	2	0	1	0	0	2	1	0	2
ERCC-00136	2244	7096	5529	7501	7475	3757	3799	6613	5662	6250	9383	10734
ERCC-00137	1	2	1	2	0	2	2	1	2	1	2	5
ERCC-00138	1	3	0	1	3	0	0	2	0	0	2	0
ERCC-00142	1	2	0	0	0	0	0	0	0	0	1	0
ERCC-00143	1	14	7	15	18	10	8	12	15	13	12	14
ERCC-00144	13	49	45	53	49	30	31	30	40	38	63	69
ERCC-00145	830	2698	1975	2931	2895	1495	1469	2539	2235	2379	3730	4079
ERCC-00147	3	6	0	2	6	1	1	7	5	3	10	7
ERCC-00148	4	14	10	15	25	12	18	22	13	16	16	32
ERCC-00150	4	11	12	8	10	8	3	7	10	12	9	21
ERCC-00154	6	18	16	17	14	6	10	16	9	8	17	23
ERCC-00156	0	0	0	0	0	1	0	1	1	2	2	0
ERCC-00157	23	54	58	63	77	35	51	70	58	58	97	102
ERCC-00158	0	5	3	3	4	1	1	2	0	4	4	4
ERCC-00160	26	71	57	74	65	37	28	62	39	63	90	99
ERCC-00162	63	180	124	193	150	95	75	134	149	141	191	225
ERCC-00163	10	28	21	49	38	32	18	57	30	34	62	59
ERCC-00164	1	5	2	3	4	1	1	6	1	3	5	6
ERCC-00165	79	188	162	228	249	115	120	214	161	192	273	337
ERCC-00168	1	3	3	10	4	5	6	7	3	5	10	11
ERCC-00170	43	183	117	136	181	97	95	151	130	147	190	232
ERCC-00171	2756	7735	6514	8902	8423	4586	4949	8222	6650	6944	11711	12690
