	1wt_fbs1	2ko_fbs1	3wt_ink1	4ko_ink1	5wt_fbs2	6ko_fbs2	7wt_ink2	8ko_ink2	9wt_fbs3	10ko_fbs3	11wt_ink3	12ko_ink3
sept-01	644	128	1013	63	2089	252	1025	76	1670	215	1977	91
mars-02	202	313	218	128	911	263	234	140	769	232	434	218
sept-02	2641	5584	2480	2893	12343	6569	2498	3042	9702	7907	5384	4789
sept-03	147	229	193	594	702	332	217	601	592	372	479	1014
sept-04	7	40	8	16	12	24	5	4	11	31	15	7
sept-05	1	44	2	26	8	41	2	24	5	41	5	48
sept-06	86	459	40	238	528	605	69	243	412	625	147	418
sept-07	1259	3142	1163	2160	6770	3736	1281	2317	5288	4310	2796	3849
sept-08	260	1070	193	576	1024	1358	210	644	833	1588	470	1030
sept-09	1079	3009	958	2536	3606	3858	1032	3002	2832	4427	2190	4708
sept-10	181	223	210	203	671	256	212	263	484	276	441	430
sept-11	3270	6653	2160	4560	14811	8131	2386	4738	12938	9145	5414	7059
sept-12	1	1	0	0	0	0	1	0	2	1	0	0
sept-14	0	3	0	4	0	4	0	9	1	6	1	17
sept-15	819	929	731	740	3973	1196	796	667	3067	1471	1576	1071
0610005C13Rik	21	87	75	86	112	141	74	85	106	162	149	123
0610007P14Rik	127	407	160	387	718	549	161	434	499	646	345	675
0610009B22Rik	89	361	139	343	560	505	138	374	408	573	304	693
0610009L18Rik	14	13	7	9	3	13	8	7	15	15	19	19
0610009O20Rik	440	414	353	665	991	497	485	738	798	554	874	1019
0610010B08Rik	6	14	8	18	32	18	14	12	18	22	18	20
0610010F05Rik	221	381	257	371	959	407	271	463	740	484	567	754
0610010K14Rik	123	595	140	510	740	872	200	614	567	989	400	969
0610011F06Rik	39	145	47	203	151	193	57	252	118	209	122	440
0610012G03Rik	65	108	70	240	262	190	70	250	191	192	137	378
0610030E20Rik	506	460	312	592	995	473	356	674	655	561	722	942
0610031O16Rik	0	0	0	0	0	0	0	0	0	0	0	0
0610037L13Rik	154	361	125	275	615	458	152	323	513	506	354	512
0610038B21Rik	4	7	2	7	8	4	2	7	8	4	9	9
0610039H22Rik	44	77	63	97	110	104	49	107	90	88	141	135
0610039K10Rik	1	3	8	7	9	1	3	5	4	2	3	8
0610040B10Rik	4	4	3	0	5	2	5	1	5	1	4	3
0610040F04Rik	16	4	6	6	28	11	8	2	10	10	14	5
0610040J01Rik	14	39	8	8	25	57	2	9	18	47	23	23
0610043K17Rik	45	18	49	25	30	25	25	22	18	21	52	45
1010001N08Rik	3	0	0	0	8	0	0	1	8	0	3	0
1110001J03Rik	27	68	54	120	209	112	76	144	150	135	137	197
1110002L01Rik	40	109	56	60	334	127	61	95	257	193	137	138
1110004E09Rik	230	385	209	346	1042	493	211	373	789	559	492	616
1110004F10Rik	669	1708	578	1273	3535	2187	670	1415	2624	2661	1433	2212
1110006O24Rik	17	4	3	16	13	14	4	11	14	18	6	14
1110007C09Rik	24	160	12	116	69	181	34	120	62	238	52	210
1110008F13Rik	123	479	101	375	915	636	149	379	659	769	243	604
1110008L16Rik	282	993	343	672	1411	1185	330	710	1102	1395	728	1233
1110008P14Rik	50	121	39	107	190	164	47	129	119	173	82	186
1110012L19Rik	59	254	75	243	263	302	73	277	214	420	137	406
1110015O18Rik	0	0	0	0	0	0	0	0	0	0	0	0
1110017D15Rik	1	0	0	2	0	2	2	1	1	1	1	1
1110019D14Rik	34	96	40	74	103	79	37	71	81	91	97	95
1110020A21Rik	2	3	1	2	3	2	2	5	4	9	5	3
1110025L11Rik	0	0	0	0	0	0	0	0	0	0	0	0
1110028F11Rik	3	6	1	4	0	5	2	3	1	3	1	1
1110028F18Rik	0	0	0	0	1	1	0	0	0	0	0	0
1110032A03Rik	50	40	37	43	73	54	43	45	60	76	97	103
1110032F04Rik	6	22	5	17	13	34	1	25	11	39	15	59
1110034G24Rik	45	72	53	99	147	106	58	130	155	144	125	191
1110036E04Rik	0	0	0	1	0	0	0	1	1	0	0	0
1110037F02Rik	917	3332	973	3161	3721	4215	970	3389	3008	4578	2034	5108
1110038B12Rik	1138	958	464	833	2420	1227	531	897	1955	1472	1099	1456
1110038F14Rik	144	366	141	383	667	498	130	408	450	607	326	707
1110046J04Rik	8	10	3	14	12	19	8	11	4	8	10	11
1110051M20Rik	79	107	114	69	282	104	138	74	214	144	269	138
1110058D11Rik	3	6	4	13	3	13	3	8	3	2	8	6
1110059E24Rik	231	483	203	399	1005	550	227	393	730	743	463	696
1110059G10Rik	42	198	52	159	286	210	74	142	203	250	148	286
1110065P20Rik	13	32	10	37	56	43	13	47	28	51	27	74
1190002F15Rik	56	13	51	40	58	6	59	41	72	21	77	57
1190002N15Rik	101	1052	147	930	702	1217	144	940	617	1328	280	1501
1190003K10Rik	0	0	0	0	0	0	0	0	0	0	0	0
1190005I06Rik	1	0	0	1	6	2	1	4	6	4	4	5
1190007I07Rik	41	93	44	132	165	130	44	135	142	181	85	224
1200014J11Rik	1118	1449	794	1313	2557	1691	784	1371	2069	1886	1614	2085
1300002E11Rik	107	118	113	141	190	154	105	121	176	141	229	182
1300017J02Rik	3	5	1	6	10	7	0	3	10	8	3	15
1500004A13Rik	147	302	167	295	445	366	142	319	366	375	420	482
1500009C09Rik	1	4	0	20	14	6	4	25	5	3	4	40
1500009L16Rik	34	477	32	124	191	639	28	125	152	786	43	216
1500011B03Rik	83	142	89	153	291	163	92	125	215	235	185	235
1500011K16Rik	22	48	25	52	177	89	26	61	136	105	69	94
1500012F01Rik	1019	646	394	1013	1614	802	462	1172	1318	1040	1149	1846
1500012K07Rik	0	0	0	0	0	0	0	1	0	0	0	0
1500015A07Rik	74	49	65	70	161	55	43	90	146	46	129	120
1500015L24Rik	0	0	0	0	0	0	0	0	0	0	0	0
1500015O10Rik	1	11	0	6	12	12	2	6	7	15	5	14
1500017E21Rik	0	0	1	2	2	0	0	0	0	1	1	2
1500026H17Rik	1	7	1	11	3	1	2	5	3	4	1	18
1600002D24Rik	1	1	0	0	1	2	0	1	1	2	1	1
1600002H07Rik	240	397	193	409	639	483	220	397	467	597	470	643
1600002K03Rik	24	49	16	45	97	78	27	48	73	86	45	59
1600010M07Rik	0	1	0	0	0	0	0	0	0	1	1	0
1600012H06Rik	212	324	229	405	637	361	208	448	491	420	468	651
1600014C10Rik	64	161	74	112	208	199	63	146	136	215	118	197
1600014C23Rik	0	1	0	0	2	1	0	1	0	3	0	1
1600014K23Rik	0	6	0	1	0	9	0	0	0	15	0	1
1600015I10Rik	0	0	0	0	0	0	0	0	0	0	0	0
1600019K03Rik	0	0	0	0	0	1	0	0	0	0	0	0
1600020E01Rik	84	112	58	80	201	130	57	106	186	138	113	129
1600023N17Rik	6	9	4	5	4	4	3	9	7	1	4	2
1600025M17Rik	0	0	0	0	0	0	0	0	0	0	0	0
1600027J07Rik	0	0	0	0	0	0	0	0	0	0	0	0
1600029I14Rik	1	2	5	0	3	0	2	1	5	1	3	2
1600029O15Rik	16	8	14	8	20	6	18	7	21	5	25	15
1700001C02Rik	0	0	0	0	1	0	0	1	0	0	0	0
1700001C19Rik	1	1	1	0	0	3	0	3	1	1	1	3
1700001D01Rik	13	25	11	23	20	24	15	15	11	25	32	26
1700001F09Rik	5	65	13	11	16	59	1	10	9	32	5	12
1700001G01Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700001G11Rik	6	6	6	2	7	2	9	5	4	1	8	4
1700001G17Rik	4	0	0	1	7	0	4	4	11	2	3	4
1700001J03Rik	0	4	0	1	1	2	0	0	0	5	1	3
1700001J11Rik	8	10	36	14	26	7	26	6	15	7	46	18
1700001K19Rik	12	16	12	16	14	24	8	8	12	8	28	13
1700001K23Rik	1	2	2	2	4	8	2	1	3	3	3	4
1700001L05Rik	425	169	300	89	1118	192	284	114	1236	209	732	152
1700001L19Rik	1	1	0	1	2	0	0	1	1	1	2	0
1700001O22Rik	1	12	9	15	29	7	6	10	17	21	10	39
1700001P01Rik	2	31	5	7	12	41	4	12	12	45	8	21
1700003C15Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700003D09Rik	0	1	0	0	0	0	0	0	1	0	0	0
1700003E16Rik	18	22	12	10	32	25	15	25	25	21	22	31
1700003E24Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700003F12Rik	2	8	4	8	18	15	5	11	14	18	19	12
1700003G13Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700003G18Rik	2	1	1	0	1	1	1	0	4	3	1	2
1700003H04Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700003I22Rik	0	0	0	0	0	1	0	0	0	0	0	0
1700003L19Rik	1	4	1	1	1	1	0	1	0	2	0	3
1700003M02Rik	1	4	1	1	9	8	1	2	15	16	6	5
1700003M07Rik	2	27	2	34	22	40	4	35	18	36	10	32
1700003P14Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700006A11Rik	0	0	0	1	0	0	0	1	0	0	0	0
1700006E09Rik	0	0	0	1	0	0	0	1	0	0	1	0
1700006F04Rik	0	0	2	3	0	1	0	2	0	0	0	1
1700006H21Rik	0	0	0	0	1	0	0	0	0	1	0	0
1700007B14Rik	0	0	0	1	2	0	0	0	2	0	0	0
1700007F19Rik	0	0	0	0	0	0	0	0	0	0	0	1
1700007G11Rik	0	2	0	0	2	0	0	0	0	0	0	0
1700007J10Rik	25	54	23	49	38	39	19	35	26	36	52	46
1700007K09Rik	0	9	2	10	3	8	1	7	2	22	2	19
1700007K13Rik	31	118	15	107	136	178	7	124	113	196	39	134
1700007L15Rik	4	15	9	15	35	33	5	16	31	24	23	32
1700007P06Rik	0	2	2	3	0	2	0	6	1	3	3	2
1700008C04Rik	1	5	5	3	3	4	1	4	5	4	7	9
1700008J07Rik	57	60	54	61	96	54	54	86	108	47	119	103
1700008K24Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700008O03Rik	22	102	33	87	125	152	57	116	99	171	126	154
1700008P02Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700009C05Rik	0	0	0	0	1	0	0	0	0	1	0	0
1700009J07Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700009N14Rik	0	2	0	0	0	2	0	0	0	1	0	0
1700010B08Rik	0	1	0	2	1	3	1	0	0	0	4	2
1700010D01Rik	0	2	0	1	0	2	0	3	0	0	0	0
1700010I02Rik	0	5	2	3	0	1	1	2	0	3	2	2
1700010I14Rik	24	19	17	0	60	10	21	0	37	17	39	1
1700010J16Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700010K23Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700011A15Rik	0	1	0	0	0	0	0	0	1	1	0	2
1700011B04Rik	0	0	0	0	1	4	0	0	0	1	0	0
1700011C11Rik	0	0	0	0	2	0	0	0	0	0	1	0
1700011E24Rik	3	1	0	0	5	0	3	0	1	1	0	0
1700011H14Rik	8	8	1	1	4	3	5	1	7	6	7	6
1700011I03Rik	0	0	0	0	0	0	0	0	0	1	0	0
1700011L22Rik	0	0	0	0	1	0	0	0	1	0	1	0
1700011M02Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700012A03Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700012B07Rik	0	0	0	0	1	1	0	0	1	1	0	0
1700012B09Rik	1	1	0	0	0	0	0	0	0	0	0	0
1700012C14Rik	0	0	1	1	0	0	2	0	1	0	3	0
1700012D01Rik	2	2	4	4	6	5	7	5	5	4	4	8
1700012D14Rik	10	15	6	18	8	13	4	11	19	22	16	28
1700012D16Rik	14	5	50	13	11	5	28	4	14	3	60	11
1700012H19Rik	0	1	0	0	0	0	0	0	0	2	0	0
1700012I11Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700012L04Rik	0	1	0	0	0	0	0	0	0	0	0	1
1700012P22Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700013D24Rik	0	0	1	0	0	0	0	0	0	0	0	0
1700013F07Rik	0	0	0	6	2	6	1	3	1	0	0	13
1700013G24Rik	0	0	0	0	1	1	0	0	0	2	1	1
1700013H16Rik	0	0	0	0	1	2	0	0	0	2	0	0
1700015E13Rik	2	6	7	5	2	6	1	12	0	4	2	5
1700015F17Rik	0	3	0	0	0	2	0	1	0	0	0	0
1700015G11Rik	0	0	0	0	1	0	2	0	5	0	2	0
1700016C15Rik	4	1	3	1	8	5	4	0	9	4	5	1
1700016D06Rik	6	11	26	9	22	18	14	12	15	18	32	12
1700016G22Rik	0	2	0	1	2	2	0	1	2	3	0	0
1700016H13Rik	3	8	0	0	5	9	1	1	1	4	0	5
1700016K19Rik	1	20	1	2	1	21	0	1	6	33	1	4
1700016L04Rik	1	1	1	1	1	0	0	1	0	2	0	2
1700016L21Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700016P04Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700017B05Rik	234	3013	243	2565	997	3855	299	2740	854	4374	587	3918
1700017D01Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700017G19Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700017J07Rik	5	0	4	3	6	1	7	4	6	6	16	6
1700017L05Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700017N19Rik	0	0	0	1	0	0	0	0	0	0	0	0
1700018A04Rik	0	0	0	1	0	0	0	0	0	0	0	2
1700018B08Rik	1	1	0	3	4	3	0	0	0	0	1	3
1700018B24Rik	0	2	0	0	0	7	0	0	0	4	0	0
1700018C11Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700018F24Rik	0	0	0	0	1	0	0	0	0	0	0	0
1700018G05Rik	0	0	0	0	1	0	0	0	0	0	0	0
1700018L02Rik	4	2	2	4	4	2	3	3	3	2	6	12
1700019A02Rik	4	427	4	11	43	529	3	18	47	632	14	30
1700019B03Rik	0	1	0	0	5	1	2	2	2	2	1	0
1700019B21Rik	0	4	0	0	0	5	0	0	0	6	0	0
1700019C18Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700019D03Rik	909	802	615	403	847	1197	609	430	785	1460	1299	574
1700019E08Rik	0	2	0	0	0	0	0	0	0	0	0	0
1700019G17Rik	17	73	10	12	96	82	12	14	65	93	22	19
1700019G24Rik	0	1	0	0	3	0	1	0	0	0	1	0
1700019L03Rik	12	30	16	60	42	41	14	57	29	31	36	54
1700019M22Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700019N19Rik	0	0	0	0	1	0	0	0	0	0	0	1
1700019O17Rik	0	0	1	1	9	4	1	1	8	0	2	0
1700020A23Rik	1	1	3	1	3	2	0	1	0	0	2	1
1700020D05Rik	48	10	23	22	20	10	11	22	24	13	41	25
1700020D14Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700020G17Rik	0	0	0	0	0	0	1	0	0	0	0	0
1700020I14Rik	396	459	415	761	1225	529	380	772	968	570	777	1285
1700020L24Rik	6	11	2	1	26	8	5	5	18	6	5	9
1700020M21Rik	0	0	0	0	1	0	0	0	0	1	0	0
1700020N01Rik	1	15	4	1	6	17	2	0	9	18	8	2
1700020N15Rik	0	0	0	0	0	0	0	0	0	1	1	1
1700020N18Rik	0	0	0	0	0	0	0	0	0	0	1	0
1700021F05Rik	67	489	73	377	598	703	108	441	435	762	199	783
1700021F07Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700021K19Rik	264	411	212	304	904	537	217	362	641	574	407	494
1700021N21Rik	0	2	0	0	0	2	0	0	1	2	1	1
1700022A21Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700022A22Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700022E09Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700022H01Rik	1	9	1	2	2	9	1	5	5	4	5	5
1700022H16Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700022I11Rik	4	2	5	4	14	8	6	4	9	7	7	3
1700023C21Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700023F02Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700023F06Rik	3	17	4	12	8	12	3	16	11	11	11	19
1700024B18Rik	0	0	1	0	1	0	0	1	0	2	0	2
1700024F13Rik	11	10	28	16	54	9	16	18	34	10	57	21
1700024G13Rik	0	1	3	3	1	5	2	0	1	1	5	0
1700024I08Rik	0	0	0	3	0	0	1	0	0	1	1	3
1700024N05Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700024P04Rik	0	0	0	0	1	1	0	0	0	1	0	0
1700024P16Rik	3	13	6	8	8	18	6	7	6	18	11	6
1700025B11Rik	0	1	0	1	0	0	0	0	0	0	1	0
1700025C18Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700025F22Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700025F24Rik	3	5	0	6	6	1	1	1	0	8	0	7
1700025G04Rik	103	429	88	305	454	482	77	328	402	590	201	578
1700025J12Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700025K24Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700025M24Rik	0	1	0	0	0	0	0	0	0	0	0	0
1700025N23Rik	0	3	2	0	0	0	1	0	2	1	0	2
1700026D08Rik	4	1	1	2	2	3	1	6	1	9	1	3
1700026D11Rik	0	0	0	0	0	0	1	0	0	0	0	3
1700026F02Rik	0	1	0	1	0	2	0	0	0	0	0	0
1700026J14Rik	2	2	2	1	0	0	0	0	0	0	0	0
1700026L06Rik	6	6	3	5	9	8	7	7	5	3	9	6
1700027A15Rik	0	0	0	0	1	0	0	0	0	0	0	0
1700027F06Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700027F09Rik	0	0	4	1	2	0	3	0	2	2	4	0
1700027H10Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700027I24Rik	1	1	1	0	5	1	1	0	1	3	0	0
1700027J07Rik	0	3	1	2	0	1	2	1	0	1	5	3
1700028B04Rik	0	1	0	2	1	0	0	0	1	1	0	0
1700028D13Rik	0	0	1	2	0	1	0	2	2	0	0	1
1700028E10Rik	2	18	8	4	9	14	12	9	11	10	15	8
1700028I16Rik	6	2	4	3	32	6	3	6	27	6	4	3
1700028J19Rik	3	10	3	3	6	11	3	5	8	11	7	9
1700028K03Rik	17	31	27	40	82	37	28	27	54	39	65	45
1700028M03Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700028P14Rik	0	1	0	0	0	1	0	0	0	5	0	1
1700028P15Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700029B22Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700029F12Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700029H14Rik	2	9	7	12	14	10	13	11	10	9	10	14
1700029I15Rik	3	4	6	3	4	3	1	1	1	2	5	4
1700029J03Rik	0	1	0	0	1	0	0	0	0	0	1	0
1700029J07Rik	8	21	12	12	51	31	10	23	30	36	25	43
1700029M20Rik	1	2	0	2	9	6	0	1	4	7	6	4
1700029N11Rik	0	0	0	0	0	0	0	0	1	0	0	0
1700029P11Rik	20	88	30	166	85	141	27	205	62	183	59	302
1700030A11Rik	0	3	0	0	1	5	0	2	1	3	1	0
1700030C10Rik	197	653	1226	1545	1409	836	1109	1554	1128	900	2989	2349
1700030F04Rik	0	2	0	1	2	7	3	3	0	0	2	2
1700030F18Rik	0	4	0	0	2	4	0	2	0	0	2	1
1700030J22Rik	24	105	20	41	115	130	15	42	73	145	43	67
1700030K09Rik	147	245	189	225	627	309	216	292	430	377	436	441
1700030L20Rik	53	127	93	108	106	118	47	108	110	102	159	120
1700030M09Rik	2	1	1	0	5	0	1	2	2	0	0	0
1700030N03Rik	0	0	0	0	1	0	0	0	0	0	0	0
1700030O20Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700031A10Rik	0	0	0	0	1	3	1	0	1	0	1	0
1700031F05Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700031M16Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700031P21Rik	0	0	0	0	0	0	0	0	0	1	0	0
1700034E13Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700034G24Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700034H15Rik	46	30	81	60	152	53	72	50	115	59	180	68
1700034I23Rik	6	2	3	3	1	3	3	1	3	1	10	4
1700034J05Rik	6	39	12	45	9	33	0	28	10	25	10	38
1700034K08Rik	2	1	1	1	1	4	0	2	0	2	3	1
1700034O15Rik	0	1	0	0	0	0	1	0	0	0	0	0
1700034P13Rik	0	4	2	1	9	8	1	6	0	8	3	2
1700036G14Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700037C18Rik	5	21	6	15	24	19	5	11	18	27	15	35
1700037H04Rik	245	442	275	460	1305	647	370	542	1065	823	610	720
1700039E15Rik	0	0	0	0	1	0	0	0	0	1	0	0
1700039E22Rik	0	0	0	0	0	0	0	0	1	0	0	0
1700040L02Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700041A01Rik	0	1	0	0	1	0	0	2	0	1	0	3
1700041C23Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700041M19Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700042G07Rik	0	2	0	1	0	0	0	0	2	0	0	1
1700042G15Rik	3	1	0	0	3	1	1	1	2	1	0	1
1700042O10Rik	8	4	23	3	132	8	32	2	82	9	56	9
1700044C05Rik	0	0	1	0	1	1	0	0	0	1	3	0
1700044K03Rik	0	0	0	0	0	1	0	1	0	0	0	0
1700045H11Rik	0	0	0	0	1	0	0	0	0	0	2	0
1700046C09Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700047A11Rik	3	4	3	3	4	9	2	3	5	2	3	3
1700047E10Rik	12	67	3	12	20	78	2	18	13	72	8	21
1700047G03Rik	1	2	0	1	0	1	0	0	0	2	1	0
