WT_0.1	KO_0.1	KO_0.2	WT_1.1	WT_1.2	KO_1.1	KO_1.2	WT_3.1	KO_3.1	KO_3.2	WT_8.1	WT_8.2	KO_8.1	KO_8.2
Gnai3	7.93463819	8.31453235	7.656919005	6.25540091	7.6513162	7.33742924	7.318076077	6.134841616	6.731967028	6.133564046	3.711294841	1.88333683	4.919552092	4.132288491
Hoxb9	0.381146028	1.709991154	2.929440034	2.401949574	6.066353699	4.290736004	3.492839636	2.870501013	1.679989738	3.326209124	-2.121595173	-0.924018092	0.353001628	-0.240265677
Cdc45	7.769778404	6.055151555	7.007699048	7.508571993	7.6513162	6.692834448	6.573551435	7.015824041	5.437198552	6.133564046	3.163807046	-0.924018092	3.360821133	2.161832766
Igf2	3.246216448	3.150563746	1.873792004	3.697405457	6.066353699	0.935893287	2.873111717	3.632341276	2.365881147	3.326209124	1.785295422	3.599543864	2.649618635	2.475941357
Klf6	7.662579345	7.983574857	7.617529641	7.066639267	6.066353699	7.300196333	7.572197427	6.27175156	4.718670206	6.496134125	3.809142164	1.88333683	3.360821133	3.018468591
Scmh1	5.210415727	6.241676415	6.095894931	5.132342514	6.066353699	6.23263305	6.293636842	4.229582106	5.714848495	5.648137218	0.200332922	3.323909421	0.353001628	3.460174041
Cox5a	10.63161365	10.12119947	10.01948091	9.478765171	6.066353699	9.96018057	10.54017998	9.638685338	9.793278938	8.880797975	8.271795284	7.20010322	10.08984471	9.557858919
Tbx4	-2.426208894	3.307390758	1.873792004	0.527480456	6.066353699	1.32291641	2.725013078	-1.653060943	-1.258609718	3.326209124	-2.121595173	-0.924018092	-1.848632233	-3.047620599
Ngfr	7.643912051	6.371722989	7.306826456	8.022002739	6.066353699	6.367310529	6.253651972	6.81046343	6.411456351	5.648137218	2.922798946	3.163444749	4.476898099	3.361770337
Wnt9a	1.966108529	0.800756618	1.125979028	1.749872877	6.066353699	-2.764546431	1.763487226	-1.653060943	-2.843572219	3.326209124	-2.121595173	-0.924018092	-1.848632233	-3.047620599
Actr2	9.479554156	8.76865062	8.285469606	8.850910576	6.066353699	8.563567463	7.47120962	8.406283518	7.819096157	7.233099719	5.704953314	4.690691752	6.860796269	5.949558882
Gna12	5.374691006	5.059753457	5.702980243	5.861381192	7.6513162	5.588600394	4.933412227	4.976295677	5.008176823	3.326209124	1.048329828	1.397910003	5.098566351	3.759734323
Sdhd	7.939019955	7.306229324	7.051351519	7.347659418	6.066353699	7.862075221	3.958503208	6.700085882	7.436038363	6.133564046	0.685759749	1.88333683	4.110210442	1.906575711
Ccnd2	6.338662697	9.420931732	9.115413695	6.504760379	6.066353699	8.895003565	9.666259001	5.265802294	8.308078611	9.256946461	2.922798946	3.163444749	6.771220915	5.88901734
Ncs1	4.957495399	4.846216637	5.276109486	3.80049895	6.066353699	4.130271332	3.744378403	3.391333176	4.432552187	3.326209124	0.200332922	-0.924018092	3.835064221	1.906575711
Nalcn	-0.841246393	4.214694083	2.363842858	-1.057482045	6.066353699	3.678397064	2.873111717	-1.653060943	1.404355295	3.326209124	-2.121595173	-0.924018092	-1.848632233	0.952379401
Btbd17	-2.426208894	0.800756618	2.728975452	-1.057482045	6.066353699	1.483381082	2.644842729	-1.653060943	1.548745204	3.326209124	-2.121595173	-0.924018092	1.186991677	0.652819119
Slfn4	-2.426208894	-2.234867292	-2.280013332	-1.057482045	6.066353699	0.935893287	-2.484440288	-1.653060943	-2.843572219	3.326209124	-2.121595173	-0.924018092	-1.848632233	-3.047620599
Th	0.743716108	0.301185609	-2.280013332	1.26444605	6.066353699	-2.764546431	-2.484440288	2.047378775	-2.843572219	3.326209124	-2.121595173	-0.924018092	-1.848632233	-3.047620599
