RIP1	RIP2	RIP3	RIP4	RIP5	RIP6	ID	seqnames	start	end	GeneID	
1	1.943121621	1.605211751	1.47631706	0.849452962	0.266582357	1.106702869	ref1	chr1	3241530	3242951	Xkr4
2	-0.864233301	0.076283285	1.218005064	-1.363540762	-1.252791802	-2.323284972	ref2	chr1	3619442	3619842	Xkr4
3	0.086857099	-0.529437776	2.053374363	-1.653047379	-0.636120442	-0.066945219	ref3	chr1	3620617	3621017	Xkr4
4	1.159613441	2.185405007	2.084738534	-0.735509539	-0.515826208	-0.969648017	ref4	chr1	3670588	3670988	Xkr4
5	2.894212021	2.045032351	2.745252067	1.776940462	1.469674222	1.326968989	ref5	chr1	4781314	4781714	Mrpl15
6	3.423632958	3.081426588	3.04542561	2.095890857	2.241197038	1.941418254	ref6	chr1	4781813	4782213	Mrpl15
7	1.798731712	1.741416134	2.084738534	0.668880716	0.77105494	0.735608717	ref7	chr1	4817588	4817988	Lypla1
8	2.049055066	0.61942561	0.903131727	0.668880716	-0.911754884	-0.207807754	ref8	chr1	4948492	4949454	Rgs20
9	-1.963768974	0.232402487	-0.062102855	1.199395433	0.722960651	0.615314484	ref9	chr1	4979086	4979486	Rgs20
10	-3.186161396	-2.731071637	-0.547529682	-0.068084878	0.394906454	-0.207807754	ref10	chr1	4979740	4980140	Rgs20
11	-0.24756194	-0.409143542	-0.753980559	1.776940462	1.735135365	1.193290554	ref11	chr1	4982560	4982960	Rgs20
12	2.836206417	1.605211751	2.579002724	4.251169082	4.285332448	3.964170906	ref12	chr1	4983214	4984173	Rgs20
13	-0.24756194	-0.29811223	-0.753980559	-1.122532662	-0.404794896	0.061378878	ref13	chr1	5060967	5061367	Rgs20
14	4.156654066	3.808087174	3.916267129	3.521323528	3.578409862	3.386373276	ref14	chr1	6240035	6240435	Rb1cc1
15	3.373534346	3.029149309	3.196631414	3.494440233	3.157730216	3.203757553	ref15	chr1	6243926	6244326	Rb1cc1
16	6.057805931	5.920697634	5.902031693	5.387698963	5.441159716	5.267509974	ref16	chr1	6248723	6249123	Rb1cc1
17	7.714956906	7.196410053	7.340401696	7.057759055	6.996716747	6.884813878	ref17	chr1	6249722	6250122	Rb1cc1
18	4.162566759	4.230088621	3.933597008	4.038114526	3.756196981	3.553913939	ref18	chr1	6251012	6251626	Rb1cc1
19	3.403801786	3.237019115	3.307130955	3.028776661	3.064319276	2.986570291	ref19	chr1	6260796	6261196	Rb1cc1
20	6.435280018	6.371691459	6.44418111	6.029557129	5.984338471	6.07141589	ref21	chr1	7120117	7120517	Pcmtd1
21	8.707266549	8.580109023	8.604078871	8.303248102	8.158719186	8.218564532	ref22	chr1	7169515	7169915	Pcmtd1
22	0.514278322	0.304552273	0.674862739	-0.735509539	-0.404794896	-0.363926956	ref24	chr1	8518428	8519043	Sntg1
23	4.102320216	1.633500795	3.690237965	2.964930179	2.53380456	3.049821847	ref25	chr1	8519285	8520989	Sntg1
24	0.783464955	-0.529437776	1.160289567	0.462429838	-0.404794896	-0.738322471	ref27	chr1	9176652	9178075	Sntg1
25	9.31658755	8.696345974	8.072323465	8.015640664	7.241997128	6.973631235	ref28	chr1	9546514	9546914	Rrs1
26	7.607983669	7.333132205	6.862426906	6.817724457	6.460995644	6.217165998	ref29	chr1	9724424	9725338	Vcpip1
27	7.387801307	6.824667842	6.835022298	6.490477561	6.144668924	5.99110945	ref30	chr1	9745816	9746216	Vcpip1
28	5.429774709	5.261016972	5.082798123	5.067291897	4.350092606	4.246570637	ref31	chr1	9746326	9746726	Vcpip1
29	6.070440451	5.75354989	5.650178476	5.475090187	4.886077263	4.818538342	ref32	chr1	9747016	9747940	Vcpip1
30	4.754396913	4.645704935	4.922790253	4.303732092	3.946226111	4.028390466	ref34	chr1	10066358	10066758	Cspp1
31	2.049055066	1.54691311	2.287046709	1.009917634	0.77105494	0.28814974	ref35	chr1	10092098	10092498	Cspp1
32	0.901301446	0.61942561	-0.753980559	-0.179116191	0.455027446	0.339680041	ref37	chr1	10360227	10360857	Cpa6
33	6.489207622	5.056830922	6.110681801	5.627207867	5.294616896	5.439742919	ref38	chr1	10426797	10427197	Cpa6
34	-0.24756194	-1.352560014	0.674862739	-1.653047379	-2.352327476	-1.24528246	ref39	chr1	10534030	10534430	Cpa6
35	2.990427336	1.136824827	2.783984462	2.232310055	1.895600038	2.241499647	ref40	chr1	10791255	10791655	Mir467e
36	4.686256983	4.311134923	5.254663535	4.179842635	3.848746224	4.067122861	ref41	chr1	11039679	11040559	Prex2
37	3.810076685	3.594458694	3.984371575	2.577907056	2.974743922	2.69166537	ref42	chr1	11041013	11041639	Prex2
38	3.2567821	2.747900168	3.638336863	2.676873507	2.692066644	2.370976171	ref43	chr1	11042123	11042523	Prex2
39	0.783464955	1.935684955	1.100168574	0.603292374	0.125719821	-0.448815854	ref44	chr1	11042617	11043017	Prex2
40	3.042657295	2.7085515	3.293772572	2.295968692	2.704503747	2.186270126	ref45	chr1	11048452	11049372	Prex2
41	2.836206417	1.54691311	2.579002724	1.326774739	1.316051033	1.60482211	ref46	chr1	11049393	11050148	Prex2
42	-0.24756194	-2.731071637	0.674862739	-0.735509539	-0.767364975	-0.283756608	ref47	chr1	11050196	11050596	Prex2
43	2.123693867	1.715184593	2.745252067	1.366852179	1.41017321	1.221035544	ref48	chr1	11050651	11051274	Prex2
44	4.265049716	3.862879647	4.455472806	2.64463317	2.834671039	2.383306973	ref49	chr1	11052751	11053521	Prex2
45	1.997060428	1.055524725	2.46444296	0.603292374	1.215357033	1.165001509	ref50	chr1	11062701	11063101	Prex2
46	1.736670744	0.924280191	2.440397486	0.306310637	0.722960651	1.301205893	ref51	chr1	11063156	11063740	Prex2
47	2.744575942	1.605211751	2.783984462	2.165712306	1.581784589	1.449304532	ref52	chr1	11235424	11235824	Prex2
48	4.248466832	2.985919257	4.431276096	3.101840123	2.922466643	3.258334086	ref53	chr1	11236623	11237616	Prex2
49	2.428548448	1.841818031	2.339995589	1.619971115	1.069136293	1.472574311	ref54	chr1	11237721	11238121	Prex2
50	1.159613441	-0.195018737	2.203791205	0.791737464	0.125719821	0.735608717	ref55	chr1	11239928	11240328	Prex2
51	1.206156027	0.924280191	0.755033088	0.386480985	0.862685415	-0.207807754	ref56	chr1	11240625	11241025	Prex2
52	0.901301446	1.013089458	2.25982524	-0.430654958	-0.301701403	0.28814974	ref57	chr1	11295633	11296033	Prex2
53	3.911870687	3.291296176	2.664520795	3.204933616	2.729060851	2.978465241	ref58	chr1	11299481	11299881	Prex2
54	2.612580396	2.295728422	2.600862158	2.39619614	2.753206938	2.65144827	ref59	chr1	11429928	11430328	A830018L16Rik
55	0.956796558	-0.409143542	1.567947536	1.107764957	0.568238057	1.40160779	ref60	chr1	11441010	11441410	A830018L16Rik
56	1.915376631	2.08655162	2.725488813	2.35693671	1.55456312	1.974395577	ref61	chr1	11468265	11469024	A830018L16Rik
57	1.603915535	1.633500795	1.326939436	1.619971115	1.069136293	0.735608717	ref63	chr1	11856083	11856668	A830018L16Rik
58	12.14409027	11.9051338	12.16202806	12.11992007	11.75709512	11.70205649	ref64	chr1	12667837	12668237	Gm17644
59	7.672596704	7.954903541	7.844501463	7.339733638	6.867878084	6.881557841	ref65	chr1	12668277	12668677	Gm17644
60	1.495662644	-0.008605613	1.037432819	-0.916081785	-1.45924268	-1.405747132	ref66	chr1	12828972	12829372	Sulf1
61	7.906375537	8.028650136	8.170603579	7.09029105	6.810063853	6.507846301	ref67	chr1	12858989	12859699	Sulf1
62	2.836206417	3.317687675	3.266678911	1.68482226	1.526818129	1.136146647	ref68	chr1	12871664	12872064	Slco5a1
63	3.403801786	3.82044438	3.750150867	2.071845383	1.41017321	1.136146647	ref69	chr1	12989633	12990303	Slco5a1
64	0.843585948	0.779890282	1.100168574	1.154307543	0.394906454	0.916180963	ref70	chr1	13126040	13126440	Prdm14
65	1.887087586	0.969368081	1.611668913	2.119542125	1.608501927	1.782914432	ref71	chr1	13166908	13167308	Ncoa2
66	7.412201328	7.017456684	7.031911975	7.194184006	6.754328931	6.632526356	ref72	chr1	13174066	13174466	Ncoa2
67	3.14176544	2.996848817	3.346479622	3.420201603	3.005224529	2.567485958	ref73	chr1	13174837	13175237	Ncoa2
68	2.408785194	1.661245786	1.885429725	1.68482226	1.030142161	0.810570775	ref74	chr1	14170275	14170675	Eya1
69	3.794930142	2.918543822	2.894307877	3.48536665	2.834671039	2.8687338	ref75	chr1	14753944	14754344	Msc
70	1.111519153	0.373265023	-0.994988659	1.199395433	0.948842059	0.121499871	ref76	chr1	14755441	14755841	Msc
71	3.564266458	3.579995465	3.595428272	2.842363537	2.67952139	2.886168394	ref77	chr1	15840943	15841343	Terf1
72	2.728721991	1.792490319	2.858462678	3.041213764	2.85712589	2.920417956	ref78	chr1	15860543	15860943	Sbspon
73	0.438329469	-1.883074731	0.971844477	1.154307543	0.568238057	1.449304532	ref79	chr1	15868139	15868539	Sbspon
74	7.62842107	8.008202675	7.484791605	5.818176217	5.829712102	5.702162234	ref80	chr1	16082310	16082710	4930444P10Rik
75	3.918874075	4.530083035	4.330214568	3.341934546	3.157730216	2.886168394	ref81	chr1	16105762	16106162	Rdh10
76	-1.963768974	-2.731071637	-2.132492183	-1.122532662	-0.115288279	-1.405747132	ref82	chr1	16339124	16339524	Stau2
77	-0.127267707	1.250781016	0.499776033	0.958387333	0.266582357	0.28814974	ref83	chr1	16422768	16423168	Stau2
78	1.206156027	0.50158912	2.25982524	1.199395433	1.581784589	1.248257013	ref84	chr1	16424462	16425127	Stau2
79	1.671819599	1.322039699	1.920619154	1.107764957	1.283261098	0.916180963	ref85	chr1	16425454	16426177	Stau2
80	1.915376631	0.924280191	2.534264409	1.552067051	1.829002289	2.022489865	ref86	chr1	16426560	16426960	Stau2
81	1.378623223	1.096747387	0.903131727	1.326774739	0.862685415	1.045948838	ref88	chr1	16996852	16997252	Jph1
82	1.206156027	0.674920722	1.160289567	1.366852179	-0.030399381	0.84664003	ref89	chr1	17003831	17004231	Jph1
