"seqnames" "start" "end" "RIP4" "RIP5" "RIP6" "RIP1" "RIP2" "RIP3" "GeneID"
"1" "chr1" 3241530 3242951 25 21 48 52 50 30 "Xkr4"
"2" "chr1" 3619442 3619842 5 7 4 7 17 25 "Xkr4"
"3" "chr1" 3620617 3621017 4 11 21 14 11 45 "Xkr4"
"4" "chr1" 3670588 3670988 8 12 11 30 75 46 "Xkr4"
"5" "chr1" 4781314 4781714 48 49 56 101 68 73 "Mrpl15"
"6" "chr1" 4781813 4782213 60 84 86 146 140 90 "Mrpl15"
"7" "chr1" 4817588 4817988 22 30 37 47 55 46 "Lypla1"
"8" "chr1" 4948492 4949454 22 9 19 56 25 20 "Rgs20"
"9" "chr1" 4979086 4979486 32 29 34 3 19 10 "Rgs20"
"10" "chr1" 4979740 4980140 13 23 19 1 2 7 "Rgs20"
"11" "chr1" 4982560 4982960 48 59 51 11 12 6 "Rgs20"
"12" "chr1" 4983214 4984173 269 348 351 97 50 65 "Rgs20"
"13" "chr1" 5060967 5061367 6 13 23 11 13 6 "Rgs20"
"14" "chr1" 6240035 6240435 162 213 235 243 232 165 "Rb1cc1"
"15" "chr1" 6243926 6244326 159 159 207 141 135 100 "Rb1cc1"
"16" "chr1" 6248723 6249123 592 776 867 909 1005 655 "Rb1cc1"
"17" "chr1" 6249722 6250122 1885 2282 2661 2868 2434 1776 "Rb1cc1"
"18" "chr1" 6251012 6251626 232 241 264 244 311 167 "Rb1cc1"
"19" "chr1" 6260796 6261196 115 149 178 144 156 108 "Rb1cc1"
"20" "chr1" 6670089 6670489 0 0 0 2 0 7 "St18"
"21" "chr1" 7120117 7120517 924 1131 1514 1181 1374 954 "Pcmtd1"
"22" "chr1" 7169515 7169915 4470 5107 6708 5706 6352 4265 "Pcmtd1"
"23" "chr1" 8376569 8376969 7 6 9 9 8 6 "Sntg1"
"24" "chr1" 8518428 8519043 8 13 17 19 20 17 "Sntg1"
"25" "chr1" 8519285 8520989 110 103 186 234 51 141 "Sntg1"
"26" "chr1" 9095997 9096397 2 7 3 2 4 1 "Sntg1"
"27" "chr1" 9176652 9178075 19 13 13 23 11 24 "Sntg1"
"28" "chr1" 9546514 9546914 3662 2705 2830 8705 6885 2950 "Rrs1"
"29" "chr1" 9724424 9725338 1596 1574 1675 2663 2676 1275 "Vcpip1"
"30" "chr1" 9745816 9746216 1272 1264 1432 2286 1881 1251 "Vcpip1"
"31" "chr1" 9746326 9746726 474 364 427 588 636 371 "Vcpip1"
"32" "chr1" 9747016 9747940 629 528 635 917 895 550 "1700034P13Rik"
"33" "chr1" 9747016 9747940 629 528 635 917 895 550 "Vcpip1"
